"Apps","Mins","Mins.Gm","Height","Weight","Age","Av.Rat","Gls","Gls.90","Shot..","xG","Ch.C.90","Asts.90","K.Ps.90","Pas..","Cr.C.A","Drb.90","Distance","Hdr..","K.Tck","Fls","PoM","Aer.A.90","Off","Tck.R","CA","Gls.xG","Dist.Mins","Value","Lower.Transfer.Value","Upper.Transfer.Value"
12,809,67.4166666666667,173,68,20,7.14,1,0.11,0.67,0.18,0,0.22,1.78,0.92,0.3,0.11,102.6,0.73,0,13,1,4.45,0,0.88,84,5.55555555555556,0.126823238566131,6000,9000,3000
15,1161,77.4,172,69,25,6.84,0,0,0.38,0.56,0.08,0.39,1.09,0.9,0.75,0.16,150.3,0.71,0,19,0,4.26,0,0.76,79,0,0.129457364341085,1250,2500,0
15,1350,90,170,62,22,6.9,0,0,0.1,3.31,0.14,0,0.73,0.89,0.28,0.33,172.8,0.79,7,21,1,6.73,0,0.77,87,0,0.128,6000,12000,0
20,1738,86.9,192,86,22,7.15,1,0.05,0.3,0.42,0,0.26,0.31,0.87,0.15,0.05,101.9,0.8,2,17,1,5.75,1,0.88,95,2.38095238095238,0.0586306098964327,550000,1e+06,1e+05
15,1380,92,180,70,18,7.32,1,0.07,0.33,0.04,0,0.2,0.07,0.78,0,0.07,18.8,0.5,0,20,0,0.26,0,0.75,81,25,0.0136231884057971,192500,350000,35000
15,1350,90,190,78,25,6.87,2,0.13,0.4,0.64,0,0,0.13,0.84,1,0.07,128.9,0.88,2,11,0,12.33,1,0.8,94,3.125,0.0954814814814815,7000,14000,0
11,943,85.7272727272727,172,66,22,7.03,1,0.1,0.5,0.36,0.11,0,0.86,0.94,0.18,0.29,125.1,0.8,0,18,0,7.64,2,0.84,81,2.77777777777778,0.132661717921527,3000,4500,1500
11,977,88.8181818181818,190,80,30,6.96,0,0,0.2,0.36,0.2,0,0.28,0.91,0,0,114.2,0.79,4,14,1,18.24,0,0.85,85,0,0.116888433981576,6000,12000,0
16,1098,68.625,169,65,24,7.09,1,0.08,0.31,1.09,0.59,0.49,1.31,0.91,0.28,0.33,135.5,0.69,0,13,2,4.51,0,0.86,85,0.91743119266055,0.123406193078324,7000,14000,0
11,990,90,184,70,23,6.96,3,0.27,0.32,1.5,0,0.09,0.27,0.92,0,0.09,107.7,0.65,5,5,1,13.45,0,1,100,2,0.108787878787879,17000,26000,8000
16,1423,88.9375,175,69,26,6.87,1,0.06,0.43,0.58,0.43,0.19,0.89,0.89,0.18,0.13,184.1,0.66,0,29,0,4.05,0,0.79,89,1.72413793103448,0.12937456078707,14000,0,28000
13,1095,84.2307692307692,197,90,22,6.68,0,0,0,0.37,0.1,0,0.08,0.9,0,0.08,110.2,0.85,0,17,0,18.82,1,0.91,89,0,0.100639269406393,104000,18000,190000
11,990,90,189,83,20,7.35,3,0.27,0.4,0.15,0,0.09,0.36,0.82,0.3,0.27,57.6,0.88,0,5,0,4.73,1,0.85,76,20,0.0581818181818182,66000,12000,120000
15,1250,83.3333333333333,184,80,25,6.89,3,0.22,0.35,2.15,0.29,0.07,0.79,0.91,0.4,0.14,177.7,0.7,0,20,2,6.05,0,0.79,92,1.3953488372093,0.14216,6500,1000,12000
15,1206,80.4,180,73,23,6.61,0,0,0.47,1.3,0.32,0.22,1.12,0.9,0.25,0.15,185.5,0.41,0,6,0,9.1,0,0.78,93,0,0.153814262023217,6000,3000,9000
11,972,88.3636363636364,169,64,27,6.91,1,0.09,0.25,0.81,0.12,0.19,2.22,0.86,0.21,0.65,142.8,0.37,0,15,0,5.74,2,0.75,82,1.23456790123457,0.146913580246914,5500,1000,10000
14,1037,74.0714285714286,184,76,28,7.14,1,0.09,0,0.21,0.26,0.09,1.22,0.9,0.2,0.09,126.8,0.83,1,16,0,7.12,1,0.84,93,4.76190476190476,0.122275795564127,14000,0,28000
12,1039,86.5833333333333,188,78,22,6.88,0,0,0,0,0,0,0.09,0.43,0,0,60,0,0,0,1,0,0,0,92,0,0.0577478344562079,27500,0,55000
13,1061,81.6153846153846,182,77,23,6.83,0,0,0.5,0,1.82,0.08,1.44,0.87,0.25,3.05,146.2,0.85,1,21,0,7.13,6,0.8,86,0,0.137794533459001,8000,0,16000
14,1244,88.8571428571429,177,74,27,6.69,2,0.14,0.63,0.7,0.16,0.07,0.65,0.94,0.12,0,165.6,0.57,3,35,0,5.06,0,0.61,95,2.85714285714286,0.133118971061093,22500,0,45000
15,1350,90,190,87,25,6.63,0,0,0,0,0,0,0.2,0.38,0,0,80.1,0,0,0,1,0,0,0,85,0,0.0593333333333333,4000,0,8000
15,1331,88.7333333333333,179,69,19,7.15,0,0,0.38,0,1.27,0,0.14,0.72,1,0,7.4,1,0,16,1,0.27,0,0.56,79,0,0.00555972952667168,116000,22000,210000
12,1014,84.5,193,86,27,6.54,0,0,0.4,0.58,0,0,0.44,0.88,0,0.09,109.8,0.89,0,7,0,16.24,1,0.86,92,0,0.108284023668639,13000,0,26000
12,1110,92.5,183,79,24,7.19,1,0.08,0.33,0.55,0.18,0.08,0.24,0.91,0.66,0.08,125.8,0.73,3,8,1,15,1,0.83,102,1.81818181818182,0.113333333333333,26000,12000,40000
12,867,72.25,186,80,20,7.02,0,0,0,0.33,0.1,0,0.31,0.88,1,0,96.9,0.86,3,13,0,16.82,1,0.33,89,0,0.111764705882353,33000,6000,60000
